concept,cognate,test_form,eng_trans,notes,varieties
(SPINE) TINGLING,g,zokuzoku,(SPINE) TINGLING,,
(SPINE) TINGLING,f,zawazawa,(SPINE) TINGLING,,
(SPINE) TINGLING,i,zoNzoN,(SPINE) TINGLING,,
(SPINE) TINGLING,h,zomizomi,(SPINE) TINGLING,,
A LITTLE,d,sukosyi,A LITTLE,,
A LITTLE,e,tyoQto,A LITTLE,,
A LITTLE,a,tyobiQto,A LITTLE,,
ACRID (TASTE),a,egui,ACRID (TASTE),,
ACRID (TASTE),d,nigai,ACRID (TASTE),,
ANNOYED/IMPATIENT-1,e,iraira,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-1,l,yakiyaki,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-1,c,hagai,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,f,hagai,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,i,izyiizyi,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,c,zyireQtai,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,o,yaNdagunaruQ,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,l,mukamuka,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,p,yaQkiri,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-2,h,iratyimonai,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-3,a,hagai,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-3,d,modokasyii,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-3,b,iraira,ANNOYED/IMPATIENT,,
ANNOYED/IMPATIENT-3,j,zyireQtee,ANNOYED/IMPATIENT,,
BIG,f,ookii,BIG,,
BIG,a,deQkai,BIG,,
BIG,d,igai,BIG,,
BIG,c,futoi,BIG,,
BIND,b,syibaru,BIND,,
BIND,c,kukuru,BIND,,
BIND,d,kubiru,BIND,,
BITTER,a,nigai,BITTER,,
BLOW,a,fuku,BLOW,,
BRIGHT,a,akarui,BRIGHT,,
CHEW,a,kamu,CHEW,,
CLEAN,a,kiree,CLEAN,,
CLEAN,b,saQpari,CLEAN,,
CLEAN,i,utsukusyi,CLEAN,,
CLEAN,f,migotsu,CLEAN,,
CLEAN,e,keQko,CLEAN,,
CLEAR,k,suQkiri,CLEAR,,
CLEAR,i,saQpari,CLEAR,,
CLEAR,e,moyamoya,FUZZY,,
CLEAR,c,haQkiri,CLEAR,,
CLEAR,b,booQ,FUZZY,,
CLEAR,n,syaN,CLEAR,,
CLEAR,a,boNyari,FUZZY,,
CLEAR,f,omotai,FUZZY,,
CLEAR,m,syakiQ,CLEAR,,
CLINGING,a,netyinetyi,CLINGING,,
COLD (WEATHER),a,sabui,COLD (WEATHER),,
COLD (WEATHER),c,hieQda,COLD (WEATHER),,
COLD (WEATHER),b,syibareru,COLD (WEATHER),,
COLD TO TOUCH-1,a,kiNkiN,COLD TO TOUCH,,
COLD TO TOUCH-2,a,syaQkoi,COLD TO TOUCH,,
COLD TO TOUCH-2,c,tsumetee,COLD TO TOUCH,,
COLD TO TOUCH-2,b,syibityoo,COLD TO TOUCH,,
COOL,b,suzusyii,COOL,,
COOL,a,hiyaQkoi,COOL,,
CRAMPED,a,semai,CRAMPED,,
CRAMPING (STOMACH),h,syikusyiku,CRAMPING (STOMACH),,
CRAMPING (STOMACH),b,kirikiri,CRAMPING (STOMACH),,
CRAMPING (STOMACH),i,tyikutyiku,CRAMPING (STOMACH),,
CRAMPING (STOMACH),g,niyaniya,CRAMPING (STOMACH),,
CRAWL,a,hau,CRAWL,,
CRAWL,b,notaru,CRAWL,,
CRY,b,gomeku,CRY,,
CRY,a,naku,CRY,,
CUNNING,p,zurui,CUNNING,,
CUNNING,h,kitanai,CUNNING,,
CUNNING,c,kosui,CUNNING,,"Fukui, Yamanashi, Nagano, Aichi, Osaka, Hiroshima, Ehime, Koochi, Kagoshima"
CUNNING,c2,suQkoi,CUNNING,,"Hyoogo, Wakayama, Yamanashi, Shizuoka, Shiga, Kyoto"
CUNNING,d,herakoi,CUNNING,,
DARK,b,kurai,DARK,,
DARK,a,akaanakaQta,DARK,,
DRY,a,kawaku,DRY,,
DRY,b,hiru,DRY,,
DRY,f,koragu,DRY,,
EMPTY,a,kara,EMPTY,,
EXHAUSTED-1,i,guQtari,EXHAUSTED,everything that’s not the other i cognate put here,
EXHAUSTED-1,g,guNnari,EXHAUSTED,,
EXHAUSTED-1,c,dareta,EXHAUSTED,,
EXHAUSTED-1,j,hetoheto,EXHAUSTED,,
EXHAUSTED-1,d,dayo,EXHAUSTED,,
EXHAUSTED-1,e,erai,EXHAUSTED,,
EXHAUSTED-1,i2,kutakuta,EXHAUSTED,,"Hokkaido-inland, Fukushima, Kanagawa, Mie, Ishikawa, Nara, Tokushima, Kagawa"
EXHAUSTED-2,y,tsukareta,EXHAUSTED,,
EXHAUSTED-2,n,kitsuka,EXHAUSTED,,
EXHAUSTED-2,u,syiNdo,EXHAUSTED,,
EXHAUSTED-2,t,hezune,EXHAUSTED,,
EXHAUSTED-2,o,kowai,EXHAUSTED,,
EXHAUSTED-2,q,kutabireta,EXHAUSTED,,
EXHAUSTED-2,a,daruQkoi,EXHAUSTED,,
EXHAUSTED-2,m,kaQtarii,EXHAUSTED,,
EXHAUSTED-2,c,dayai,EXHAUSTED,,
EXHAUSTED-2,d,erai,EXHAUSTED,,
EXHAUSTED-2,k,hoQkori,EXHAUSTED,,
EXHAUSTED-2,p,koenee,EXHAUSTED,,
EXHAUSTED-2,t,syetsu,EXHAUSTED,,
FAST,a,hayai,FAST,,
FLAT,g,tairana,FLAT,,
FLAT,b,hiratai,FLAT,,
FLAT,c,narui,FLAT,,
FREEZE,d,kooru,FREEZE,,
FREEZE,h,syimiru,FREEZE,,
FREEZE,a,iteru,FREEZE,,
FREEZE,c,kogoru,FREEZE,,
FREEZE,i,syibareru,FREEZE,only one location,
FULL (TO THE BRIM),a,iQpai,FULL (TO THE BRIM),,
GLAD,d,uresyii,GLAD,,
GLAD,f,omosyaiN,GLAD,,
GLARING (OVERLY BRIGHT),b,mabusyii,GLARING (OVERLY BRIGHT),,
GLARING (OVERLY BRIGHT),g,matsupoi,GLARING (OVERLY BRIGHT),,
GLARING (OVERLY BRIGHT),a,mabaii,GLARING (OVERLY BRIGHT),,
GLARING (OVERLY BRIGHT),c,hidoroQko,GLARING (OVERLY BRIGHT),,
GLARING (OVERLY BRIGHT),e,hizurasyii,GLARING (OVERLY BRIGHT),,
HARD,b,katai,HARD,,
HARD,a,kowai,HARD,,
HARD,c,katyikatyi,HARD,,
HEAVY,a,omoi,HEAVY,,
HOT,a,atsui,HOT,,
HOT,b,nuQka,HOT,,
HUMID-1,e,musyimusyi,HUMID,,
HUMID-1,h,omoreru,HUMID,,
HUMID-1,c,ikiru,HUMID,,
HUMID-1,b,hotoru,HUMID,,
HUMID-2,c,zyimezyime,HUMID,,
HUMID-2,e,zyitozyito,HUMID,,
HUMID-2,f,zyukazyuka,HUMID,,
HUNGRY,c,himozyii,HUNGRY,everything that’s not the other,
HUNGRY,c2,hidarui,HUNGRY,,"Toyama, Yamanashi, Shiga, Kyoto, Hiroshima, Tokushima, Ehime"
ITCHING-1,a,kaii,ITCHING,,
ITCHING-2,a,tyikutyiku,ITCHING,,
ITCHING-2,e,syikasyika,ITCHING,,
ITCHING-2,b,hasyikai,ITCHING,,
LIGHT,a,karui,LIGHT,,
LIVELY (ENERGETIC),d,piNpiN,LIVELY (ENERGETIC),,
LIVELY (ENERGETIC),e,mameda,LIVELY (ENERGETIC),,
LIVELY (ENERGETIC),h,syakiQ,LIVELY (ENERGETIC),,
LIVELY (ENERGETIC),i,syaNsyaN,LIVELY (ENERGETIC),,
LIVELY (ENERGETIC),b,geNki,LIVELY (ENERGETIC),,
LONG,a,nagai,LONG,,
LUKEWARM,a,nurui,LUKEWARM,,
NOISY,a,urusai,NOISY,,
NOISY,k,yakamasyii,NOISY,,
NOISY,l,tagee,NOISY,,
NOISY,e,nigiyaka,NOISY,,
NOISY,f,ookii,NOISY,,
NOISY,m,yagurasyika,NOISY,,
NOISY,i,sekarasyika,NOISY,,
OILY/HEAVY (FOOD),k,omoi,OILY/HEAVY (FOOD),this is only in one location,
OILY/HEAVY (FOOD),c,kudoi,OILY/HEAVY (FOOD),,
OILY/HEAVY (FOOD),b,aburaQkoi,OILY/HEAVY (FOOD),,
OILY/HEAVY (FOOD),a,syitsukoi,OILY/HEAVY (FOOD),,
OILY/HEAVY (FOOD),h,mutsugoi,OILY/HEAVY (FOOD),,
OOZING,a,guzyuguzyu,OOZING,,
OOZING,e,zyukuzyuku,OOZING,,
OOZING,h,zyuruzyuru,OOZING,,
POUNDING (HEAD),a,gaNgaN,POUNDING (HEAD),,
POUNDING (HEAD),d,zukizuki,POUNDING (HEAD),,
POUNDING (HEAD),e,zyiNzyiN,POUNDING (HEAD),,
POUNDING (HEART),a,dokidoki,POUNDING (HEART),,
POUNDING (HEART),b,bakubaku,POUNDING (HEART),,
POUNDING (HEART),e,toNtoN,POUNDING (HEART),,
PRICKLING,e,igaiga,PRICKLING,,
PRICKLING,a,hirihiri,PRICKLING,,
PRICKLING,h,serasera,PRICKLING,,
PRICKLING,f,iraira,PRICKLING,,
PRICKLING,b,egarai,PRICKLING,,
PRICKLING,i,tyikatyika,PRICKLING,,
PRICKLING,d,hasyikai,PRICKLING,,
PRICKLING,g,kaii,PRICKLING,,
QUIET-1,b,syiiN,QUIET,,
QUIET-2,e,syizukaya,QUIET,,
RAP (AT THE DOOR),c,tataku,RAP (AT THE DOOR),,
RAP (AT THE DOOR),b,hadagu,RAP (AT THE DOOR),,
RAP (AT THE DOOR),a,dotsuku,RAP (AT THE DOOR),,
RINGING,a,kiiN,RINGING,,
RINGING,e,tsuuN,RINGING,,
ROLL,a,mawaru,ROLL,,
ROUGH-1,a,arai,ROUGH,,
ROUGH-1,d,ookii,ROUGH,,
ROUGH-1,b,deQkai,ROUGH,,
ROUGH-1,c,futoi,ROUGH,,
ROUGH-2,c,zarazara,ROUGH,,
ROUGH-2,d,zyasyizyasyi,ROUGH,,
ROUGH-2,e,zyarizyari,ROUGH,,
ROUGH-2,b,zaQkuzaQku,ROUGH,,
ROUND,a,marui,ROUND,,
RUDE,q,zuuzuusyii,RUDE,,
RUDE,l,adzu,RUDE,,
RUDE,h,nobui,RUDE,,
RUDE,z,tyiputoi,RUDE,,
RUDE,i,ootyakuna,RUDE,,
RUDE,a,atsukamasyii,RUDE,,
RUDE,b,dzugedzuge,RUDE,,
SAD,d,kanasyii,SAD,,
SAD,c,hezunee,SAD,not akita,
SAD,c2,hedzune,SAD,Akita,
SAD,j,samisyii,SAD,,
SAD,k,setsunai,SAD,,
SAD,l,tsurai,SAD,,
SAD,b,gurasyi,SAD,,
SALTY,a,syoQpee,SALTY,,
SALTY,b,karai,SALTY,,
SALTY,c,kudoi,SALTY,,
SCARY-1,j,oQkanai,SCARY,,
SCARY-1,g,otorosyii,SCARY,,
SCARY-1,f,kowa,SCARY,,
SCARY-1,h,kyootee,SCARY,,
SCARY-1,b,ezui,SCARY,,
SCARY-2,c,kowa,SCARY,,
SCARY-2,f,oQkanai,SCARY,,
SCARY-2,g,otorosyii,SCARY,,
SCARY-2,b,esukaQta,SCARY,,
SCARY-3,c,kowai,SCARY,,
SCARY-3,e,oQkanai,SCARY,,
SCARY-3,f,otorosyii,SCARY,,
SCARY-3,d,kyootoi,SCARY,,
SCARY-3,a,ezui,SCARY,,
SCRATCH,a,kaku,SCRATCH,,
SCRATCH,d,kakazyiru,SCRATCH,,
SHABBY-1,b,boroboro,SHABBY,,
SHABBY-2,p,misuborasyii,SHABBY,,
SHABBY-2,a,biNboQtarasyii,SHABBY,,
SHABBY-2,o,miQtomonai,SHABBY,,
SHABBY-2,c,bisyoQtanee,SHABBY,,
SHABBY-2,r,zyizyimusai,SHABBY,,
SHAKING,a,buruburu,SHAKING,,
SHAKING,f,uzyauzya,SHAKING,,
SHAKING,b,gatagata,SHAKING,,
SLEEPY,a,nebutai,SLEEPY,,
SLICK-1,c,subesube,SLICK,,
SLICK-1,d,tsurutsuru,SLICK,,
SLICK-1,b,nomeQkoi,SLICK,,
SLICK-2,b,tsurutsuru,SLICK,,
SLICK-2,f,subesube,SLICK,,
SLIMY,a,nurunuru,SLIMY,,
SLIMY,b,nebaneba,SLIMY,,
SLIMY,d,zuruNzuruN,SLIMY,,
SLIMY,d,zuruzuru,SLIMY,,
SLOSHING,b,taputapu,SLOSHING,,
SLOSHING,c,kapokapo,SLOSHING,,
SLOW-1,a,doNkusai,SLOW,,
SLOW-1,d,osoi,SLOW,,
SLOW-1,c,noroi,SLOW,,
SLOW-1,e,toroi,SLOW,,
SLOW-2,b,osoi,SLOW,,
SLOW-2,a,noroi,SLOW,,
SLUGGISH,b,darui,SLUGGISH,,
SLUGGISH,h,koe,SLUGGISH,,
SLUGGISH,k,naNgii,SLUGGISH,,
SLUGGISH,c,dayai,SLUGGISH,,
SLUGGISH,d,erai,SLUGGISH,,
SLUGGISH,l,syiNdoi,SLUGGISH,,
SLUGGISH,g,kitsuka,SLUGGISH,,
SMALL,g,tyiQtyai,SMALL,,
SMALL,c,komai,SMALL,,
SMALL,d,hosoi,SMALL,,
SMILING,d,nikoniko,SMILING,,
SMOKY,c,kebutai,SMOKY,,
SMOKY,b,ibii,SMOKY,,
SOFT,a,yarakai,SOFT,a,"Tokyo, Kanagawa, Ishikawa, Gifu, Mie, Kyoto, Osaka, Hyoogo, Nara, Kagawa"
SOFT,a,yawakoi,SOFT,a1,"Toyama, Fukui, Shiga"
SOFT,a,yaoi,SOFT,a2,"Tottori, Hiroshima, Kagawa, Ehime, Koochi"
SOUR-1,a,sui,SOUR,,
SOUR-2,a,syibui,SOUR,,
SPACIOUS,a,hiroi,SPACIOUS,,
SPICY,a,karai,SPICY,,
SPIT,a,haku,SPIT,,
STICKY,d,netyanetya,STICKY,,
STICKY,e,nurunuru,STICKY,not Aomori-Tsugaru,
STICKY,e2,neranera,STICKY,,Aomori-Tsugaru
STICKY,c,nebaneba,STICKY,,
STICKY,a,betabeta,STICKY,,
STINGING (PAIN)-1,a,zyikazyika,STINGING (PAIN),,
STINGING (PAIN)-1,i,tyikatyika,STINGING (PAIN),,
STINGING (PAIN)-1,f,syibasyiba,STINGING (PAIN),,
STINGING (PAIN)-1,h,syobosyobo,STINGING (PAIN),,
STINGING (PAIN)-2,a,tyikatyika,STINGING (PAIN),,
STINGING (PAIN)-2,e,tyiraatyiraa,STINGING (PAIN),,
STRONG (TASTE),a,koi,STRONG (TASTE),,
STUFFED (FULL OF FOOD),e,iQpai,STUFFED (FULL OF FOOD),,
STUFFED (FULL OF FOOD),b,maNpuku,STUFFED (FULL OF FOOD),,
STUFFED (FULL OF FOOD),g,kutyii,STUFFED (FULL OF FOOD),,
STUFFED (FULL OF FOOD),j,paNpaN,STUFFED (FULL OF FOOD),,
SUCK,a,suu,SUCK,,
SWEET,a,amai,SWEET,,
TEAR,b,yabuku,TEAR,,
TEAR,a,saku,TEAR,,
TEAR,c,sabaku,TEAR,,
THICK,a,futoi,THICK,,
THIN,a,hosoi,THIN,,
THIN,b,tyiQtyE,THIN,,
THIN,d,komaka,THIN,,
THROBBING,e,zukizuki,THROBBING,,
THROBBING,a,hirihiri,THROBBING,,
THROBBING,g,zuNzuN,THROBBING,,
TICKLING,b,kusuguQtee,TICKLING,,
TICKLING,c,kosobai,TICKLING,,
TICKLING,e,motyokoi,TICKLING,,
TIGHT,d,kitsui,TIGHT,,
TIGHT,h,kyuukutsuka,TIGHT,,
TIGHT,k,pityipityi,TIGHT,,
TIGHT,c,kibui,TIGHT,,
TIGHT,m,tyiisoo,TIGHT,,
TIGHT,g,komaNka,TIGHT,,
TINGLING-1,a,hirihiri,TINGLING,,
TINGLING-2,d,hirihiri,TINGLING,,
TINGLING-2,c,hiirakoi,TINGLING,,
WARM-1,a,aQtakee,WARM,,
WARM-1,b,nukui,WARM,,
WARM-2,b,pokapoka,WARM,,
WATERY (EYES),b,syobosyobo,WATERY (EYES),,
WATERY (EYES),c,syikusyiku,WATERY (EYES),this is only one location,
WEAK-1,d,usui,WEAK,,
WEAK-1,c,mizui,WEAK,,
WEAK-2,e,usui,WEAK,,
WEAK-2,d,amai,WEAK,,
WEAK-2,g,mizukusai,WEAK,,
WET-1,b,nureru,WET,,
WET-1,c,yogoreru,WET,,
WET-1,a,bisyonure,WET,,
WET-2,b,syimeQpoi,WET,,
WET-2,e,syitosyito,WET,,
WET-2,g,syiQketoru,WET,,
WET-2,d,syiQpori,WET,,
